# Licensed under Apache License 2.0 — https://www.apache.org/licenses/LICENSE-2.0
# Copyright 2026 SemiAnalysis LLC. Data from InferenceX (https://github.com/SemiAnalysisAI/InferenceX).
# Attribution to InferenceX is required for any derivative work.
#
# ---------------------------------------------------------------------------------------------
# UNIT WARNING (verified 2026-07-31): the columns labelled "(ms)" — TTFT, TPOT, ITL, E2E Latency —
# are actually in SECONDS, not milliseconds. Proven by the internal identity
# Interactivity(tok/s/user) == 1/TPOT, which holds exactly on every row only if TPOT is seconds
# (e.g. row 4P/16D conc 256: 1/0.008444514 = 118.42 == stated Mean Interactivity 118.42).
# Cross-checked against our own runs: our p4 mean TPOT 8.284 ms vs their 0.008444 s = 8.444 ms.
# Multiply these columns by 1000 to compare against our results-summary/*.json (which are true ms).
#
# The companion inferencex-published-dsv4-gb300.json holds throughput + MEDIAN interactivity only;
# this CSV is the richer source (mean/median/p99/std for every latency metric).
# ---------------------------------------------------------------------------------------------
Model,ISL,OSL,Hardware,Hardware Key,Framework,Precision,TP,Concurrency,Date,Throughput/GPU (tok/s),Output Throughput/GPU (tok/s),Input Throughput/GPU (tok/s),Mean TTFT (ms),Median TTFT (ms),P99 TTFT (ms),Std TTFT (ms),Mean TPOT (ms),Median TPOT (ms),P99 TPOT (ms),Std TPOT (ms),Mean Interactivity (tok/s/user),Median Interactivity (tok/s/user),P99 Interactivity (tok/s/user),Std Interactivity (tok/s/user),Mean ITL (ms),Median ITL (ms),P99 ITL (ms),Std ITL (ms),Mean E2E Latency (ms),Median E2E Latency (ms),P99 E2E Latency (ms),Std E2E Latency (ms),Disaggregated,Num Prefill GPUs,Num Decode GPUs,Spec Decoding,EP,DP Attention,Is Multinode
DeepSeek-V4-Pro,8192,1024,gb300,gb300_dynamo-sglang_mtp,dynamo-sglang,fp4,20,256,2026-06-03,3055.6099580751475,424.47641178697165,13580.14414322785,23.934061629186726,24.580133193638176,38.85955716040916,7.809079331226122,0.008444514300374942,0.007337072726630762,0.014563328512428404,0.002158846493986454,118.42007301184856,136.294137629355,68.66562126553664,463.210331436504,1.4635452816840842,0.7970074745826423,6.868663427000861,1.6438695689397989,31.706859047013314,32.361331379041076,47.25779923364054,8.083279777025126,true,4,16,mtp,16,true,true
DeepSeek-V4-Pro,8192,1024,gb300,gb300_dynamo-sglang_mtp,dynamo-sglang,fp4,12,256,2026-06-03,5249.636316654215,875.1169753159262,13998.674999330793,21.570396048758994,21.961425183457322,31.980048662077166,4.994614007100408,0.010857573510096126,0.00956597745693991,0.018184642475245177,0.0026608097002326215,92.1016099103663,104.53714787656348,54.9914578392896,375.82544888970256,1.9452113589929831,1.0574833799619228,8.824212204641663,2.1204756713499053,31.566958681454434,31.786046884488314,43.96027479943582,5.512349031495172,true,4,8,mtp,8,true,true
DeepSeek-V4-Pro,8192,1024,gb300,gb300_dynamo-sglang_mtp,dynamo-sglang,fp4,8,1,2026-06-03,193.37458967533692,43.199668797869016,343.5495105528048,1.371091685583815,1.024305209517479,2.87209965525195,0.7454831136925469,0.004300664596998098,0.004086980447890385,0.005873356169976251,0.0005865909468376639,232.52220149834724,244.67941864419228,170.26040496434655,1704.7654850301412,0.015693818104230393,0.01566619100049138,0.01648893875535577,0.0009519271114442984,5.382431071391329,5.056824533035979,6.879613664215432,0.8626658971409502,true,4,4,mtp,1,false,true
DeepSeek-V4-Pro,8192,1024,gb300,gb300_dynamo-sglang_mtp,dynamo-sglang,fp4,28,8,2026-06-03,327.59548362167885,42.959917813330264,2035.4088784717705,1.6989514714921825,1.2741082410793751,5.688420406104996,1.1658662071651296,0.0055208793165384285,0.0049342165065338695,0.00893454475427766,0.0014809440860988816,181.13056682916164,202.6664210368159,111.92512069752881,675.2449396210565,0.01731890968618262,0.017200859496369958,0.02063999081030488,0.012151334537483155,6.810194568615406,6.188849315978587,12.011021291222416,2.0074427946521527,true,4,24,mtp,1,false,true
DeepSeek-V4-Pro,8192,1024,gb300,gb300_dynamo-sglang_mtp,dynamo-sglang,fp4,28,32,2026-06-03,954.2493137894428,124.48185195752535,5932.854084780947,3.2744267459434924,2.691169574391097,10.508006495698357,1.8307252019400084,0.00655682744139866,0.005908376211860631,0.011045492085730508,0.00169958678577056,152.5127828873725,169.25123995871715,90.53467172294512,588.3783095822431,0.02014959119564498,0.020272064954042435,0.023950556991621852,0.0018526511835832214,9.341405581960862,8.882847064873204,15.881824762402104,2.355262859184353,true,4,24,mtp,1,false,true
DeepSeek-V4-Pro,8192,1024,gb300,gb300_dynamo-sglang_mtp,dynamo-sglang,fp4,28,64,2026-06-03,1599.3536564109884,206.981806486644,9953.584755957054,4.185418688417849,3.551392938941717,10.763119962210768,2.02869894489339,0.007537346633171316,0.006825980686208835,0.013455244354072343,0.001950500260859033,132.67268293049872,146.49909602299246,74.32046373036263,512.6889855218903,0.024056054856895766,0.02377890655770898,0.029395477813668552,0.01180198479021252,11.121606130302098,10.56475968612358,19.208488219962458,2.6715011081928024,true,4,24,mtp,1,false,true
DeepSeek-V4-Pro,8192,1024,gb300,gb300_dynamo-sglang_mtp,dynamo-sglang,fp4,16,512,2026-06-03,7294.566246121672,1620.8984426909906,12968.234049552353,21.035499178599274,19.633636169834062,49.6058057529619,10.861832439972911,0.013045159165179282,0.011481770045444633,0.0220127810205631,0.003259569061348872,76.65678795773105,87.09458524617882,45.42815371968932,306.78902062783135,2.405085528375365,1.3160747655201703,10.687601881045849,2.58297342083384,33.0487133824372,32.083412568084896,61.66957142862958,11.201586913099145,true,8,8,mtp,8,true,true
DeepSeek-V4-Pro,8192,1024,gb300,gb300_dynamo-sglang_mtp,dynamo-sglang,fp4,24,1024,2026-06-03,9746.094670656963,3248.972986719746,12994.655512625572,17.34474432911056,16.997614051564597,37.478835872078804,6.6339458296302345,0.01664297484682764,0.014648364950596734,0.027920235424723695,0.004199238851313756,60.08541196531415,68.267004773066,35.816316903778265,238.1383949348688,3.0710790361308566,1.6842793959658593,13.708696119692169,3.3068812129252922,32.66325046133882,32.01607885048725,53.388256740043886,7.478204609745033,true,16,8,mtp,8,true,true
DeepSeek-V4-Pro,8192,1024,gb300,gb300_dynamo-sglang_mtp,dynamo-sglang,fp4,32,4096,2026-06-03,11633.940340878113,5169.251003712194,13788.836786600086,62.06131671068969,62.48015016503632,92.57352602973347,13.767450401424062,0.024277985922752123,0.02266652452349749,0.034752599332774636,0.003788983474912762,41.189578212204566,44.117923723301274,28.77482603313979,263.9230301797566,3.5249994032292067,1.709566897014156,21.203337446069348,4.2884496186635745,84.40432881573602,84.82150449592154,114.81552053541411,14.416521762786,true,24,8,mtp,8,true,true
DeepSeek-V4-Pro,8192,1024,gb300,gb300_dynamo-sglang_mtp,dynamo-sglang,fp4,40,8192,2026-06-03,12233.463496245979,6795.214205359314,13593.025818967644,96.88106178618874,97.34448988270015,128.01101748591296,14.959055969797776,0.037426028956807855,0.037082161998018774,0.04455981600153083,0.0029941592941182585,26.71937226239169,26.9671439344186,22.441744372679757,333.98356659393676,4.351190301422624,2.20726807275787,35.96998672389425,6.991663310117896,131.33281942698935,132.30861330777407,161.9405768761135,16.180093653727507,true,32,8,mtp,8,true,true
